DOI,title,year,num_citations,num_views,document_type,num_authors,num_references,num_figures,num_equations,num_countries,num_words_title,num_words_abstract,prop_words_abs,prop_simple_words_abs,first_au_F,last_au_F
10.1371/journal.pcbi.0010012,The genomic pattern of tDNA operon expression in e. coli,2005,20,7468,Article,2,43,6,9,1,10,263,0.928,0.324,0.004,0.001
10.1371/journal.pcbi.0010013,MicroRNA target predictions across seven drosophilo species and comparison to mammalian targets,2005,344,32430,Article,5,35,8,0,1,12,214,0.925,0.275,0.007,0
10.1371/journal.pcbi.0010015,Recognition of unknown conserved alternatively spliced exons,2005,35,8430,Article,3,40,2,0,1,7,194,0.887,0.363,0,0.005
10.1371/journal.pcbi.0010016,Theoretical analysis of pre-receptor image conditioning in weakly electric fish,2005,35,5019,Article,3,28,6,0,1,11,271,0.932,0.406,0.996,0.006
10.1371/journal.pcbi.0010018,Computational ecology: From the complex to the simple and back,2005,38,11172,Review,1,51,3,0,0,10,NA,0,0,0.992,0.992
10.1371/journal.pcbi.0010019,Inflammatory aetiology of human myometrial activation tested using directed graphs,2005,37,5126,Article,7,23,4,1,3,10,213,0.929,0.286,0.004,0
10.1371/journal.pcbi.0010020,Molecular switches at the synapse emerge from receptor and kinase traffic,2005,86,9320,Article,2,63,9,0,2,11,232,0.977,0.346,0.005,NA
10.1371/journal.pcbi.0010021,The RNA silencing pathway: The bits and pieces that matter,2005,34,12450,Article,3,51,6,10,1,10,140,0.899,0.27,0.991,NA
10.1371/journal.pcbi.0010022,Combined evidence annotation of transposable elements in genome sequences,2005,194,18252,Article,7,36,3,2,2,9,317,0.903,0.309,0,0.69
10.1371/journal.pcbi.0010024,Bioinformatics for whole-genome shotgun sequencing of microbial communities,2005,202,53352,Review,2,72,2,2,0,9,127,0.954,0.368,0.005,0.298
10.1371/journal.pcbi.0010025,Prediction of transcriptional terminators in bacillus subtiiis and species,2005,118,21032,Article,4,30,9,4,1,9,242,0.939,0.267,0.005,0
10.1371/journal.pcbi.0010027,Comparative analyses of fundamental differences in membrane transport Capabilities in Prokaryotes and Eukaryotes,2005,97,22500,Article,2,81,6,0,1,13,158,0.926,0.347,NA,0.003
10.1371/journal.pcbi.0010028,Evidence of a double-lid movement in pseudomonas lipase: Insights from molecular dynamics simulations,2005,35,9313,Article,5,31,8,0,1,14,150,0.895,0.314,NA,0
10.1371/journal.pcbi.0010030,Molecular Origin of Polyglutamine Aggregation in Neurodegenerative Diseases,2005,66,11989,Article,4,35,3,0,1,8,204,0.928,0.32,0,0
10.1371/journal.pcbi.0010032,Evolution of genetic potential,2005,47,14198,Article,3,50,7,10,2,4,156,0.956,0.354,0.988,0.005
10.1371/journal.pcbi.0010036,A biophysical model of the mitochondrial respiratory system and oxidative phosphorylation,2005,176,26182,Article,1,50,6,25,1,11,210,0.953,0.279,0.004,0.004
10.1371/journal.pcbi.0010036,"Erratum: A biophysical model of the mitochondrial respiratory system and oxidative phosphorylation (PLoS Computational Biology (2006) 1,4 DOI: 10.1371/journal.pcbi.0010036)",2006,0,26182,Erratum,1,50,6,25,1,24,210,0.953,0.279,0.004,0.004
10.1371/journal.pcbi.0010037,Transition to quorum sensing in an Agrobacterium population: A stochastic model,2005,54,10742,Article,6,56,8,10,1,11,306,0.981,0.375,0.004,NA
10.1371/journal.pcbi.0010039,Analysis of a splice array experiment elucidates roles of chromatin elongation factor Spt4-5 in splicing,2005,19,7077,Article,6,45,7,12,1,16,264,0.918,0.289,NA,0.003
10.1371/journal.pcbi.0010040,Inferring hypotheses on functional relationships of genes: Analysis of the Arabidopsis thaliana subtilase gene family,2005,118,10383,Article,7,67,5,0,1,15,284,0.895,0.3,0.002,0.004
10.1371/journal.pcbi.0010041,A digital atlas to characterize the mouse brain transcriptome,2005,49,19997,Article,10,39,4,0,2,9,167,0.962,0.34,0.005,0
10.1371/journal.pcbi.0010042,The human connectome: A structural description of the human brain,2005,1700,110008,Review,3,85,0,0,0,10,93,0.969,0.375,0,0
10.1371/journal.pcbi.0010043,ReAS: Recovery of ancestral sequences for transposable elements from the unassembled reads of a whole genome shotgun,2005,76,10649,Article,11,28,7,0,3,17,92,0.934,0.393,NA,0.078
10.1371/journal.pcbi.0010044,Modeling the amplification dynamics of human Alu retrotransposons,2005,9,4929,Article,7,61,4,0,1,8,182,0.957,0.319,0.073,0.003
10.1371/journal.pcbi.0010046,Flux balance analysis of mycolic acid pathway: targets for anti-tubercular drugs.,2005,19,17458,Article,3,59,3,9,1,12,305,0.893,0.29,0,NA
10.1371/journal.pcbi.0010046,Flux Balance Analysis of Mycolic Acid Pathway: Targets for Anti-Tubercular Drugs,2005,96,17458,Article,3,59,3,9,1,12,305,0.893,0.29,0,NA
10.1371/journal.pcbi.0010047,Entropic stabilization of proteins and its proteomic consequences,2005,63,8762,Article,4,53,6,0,1,8,305,0.935,0.286,0,0.007
10.1371/journal.pcbi.0010049,Structural Evolution of the Protein Kinase-Like Superfamily,2005,190,34699,Article,2,110,9,0,1,8,352,0.932,0.35,0.005,0.003
10.1371/journal.pcbi.0010050,Genomic variability within an organism exposes its cell lineage tree,2005,81,18017,Article,5,55,5,4,1,10,233,0.948,0.437,0.005,0
10.1371/journal.pcbi.0010051,The ISCB: Growing and Evolving in Step with Science,2005,0,2229,Article,1,0,0,0,0,9,NA,0,0,0.005,0.005
10.1371/journal.pcbi.0010052,Bioinformatics Education-Perspectives and Challenges,2005,36,11358,Note,1,12,0,0,0,5,NA,0,0,NA,NA
10.1371/journal.pcbi.0010053,SNPdetector: A software tool for sensitive accurate SNP detection,2005,7,25253,Article,9,23,4,0,1,9,296,0.87,0.266,NA,0.004
10.1371/journal.pcbi.0010053,SNPdetector: a software tool for sensitive and accurate SNP detection.,2005,93,25253,Article,9,23,4,0,1,10,296,0.87,0.266,NA,0.004
10.1371/journal.pcbi.0010054,Ultrasensitization: Switch-like regulation of cellular signaling by transcriptional induction,2005,26,5999,Article,4,60,6,6,1,10,220,0.945,0.346,0.002,NA
10.1371/journal.pcbi.0010055,Dissimilatory metabolism of nitrogen oxides in bacteria: Comparative reconstruction of transcriptional networks,2005,161,17915,Article,5,64,10,0,5,12,315,0.864,0.22,0,0.007
10.1371/journal.pcbi.0010055,Dissimilatory metabolism of nitrogen oxides in bacteria: comparative reconstruction of transcriptional networks.,2005,51,17915,Article,5,64,10,0,5,12,315,0.864,0.22,0,0.007
10.1371/journal.pcbi.0010056,Use of artificial genomes in assessing methods for atypical gene detection,2005,30,5166,Article,2,50,7,15,1,11,226,0.975,0.283,0,0.004
10.1371/journal.pcbi.0010057,Ten Simple Rules for Getting Published,2005,33,162588,Editorial,1,0,0,0,0,6,NA,0,0,0.003,0.003
10.1371/journal.pcbi.0010059,NIH roadmap interdisciplinary research initiatives,2005,12,4971,Review,7,2,0,0,0,5,NA,0,0,0.005,0.005
10.1371/journal.pcbi.0010060,A guild of 45 CRISPR-associated (Cas) protein families and multiple CRISPR/cas subtypes exist in prokaryotic genomes,2005,618,55818,Article,4,32,2,0,1,18,264,0.915,0.339,0.004,0.997
10.1371/journal.pcbi.0010061,Quasispecies made simple,2005,114,16268,Review,3,43,10,8,0,3,198,0.973,0.425,NA,0.005
10.1371/journal.pcbi.0010062,The association of tetrameric acetylcholinesterase with ColQ tail: A block normal mode analysis,2005,19,6447,Article,2,37,5,5,1,13,257,0.938,0.345,NA,NA
10.1371/journal.pcbi.0010063,Stealth proteins: In silico identification of a novel protein family rendering bacterial pathogens invisible to host immune defense,2005,31,7110,Article,4,65,3,0,1,18,279,0.924,0.323,0.003,0
10.1371/journal.pcbi.0010064,Quantitative Analysis of Genetic and Neuronal Multi-Perturbation Experiments,2005,27,6226,Article,5,37,4,7,1,9,124,1,0.268,0.023,0
10.1371/journal.pcbi.0010065,Allele-specific amplification in cancer revealed by SNP array analysis,2005,93,14174,Article,8,39,5,4,1,10,273,0.924,0.304,0.004,0.003
10.1371/journal.pcbi.0010066,Refining protein subcellular localization,2005,63,18496,Article,4,37,4,2,1,4,206,0.958,0.311,0.996,0.005
10.1371/journal.pcbi.0010067,PhyloGibbs: A gibbs sampling motif finder that incorporates phylogeny that incorporates phylogeny,2005,195,23025,Article,3,63,6,39,3,12,521,0.893,0.266,0,0.004
10.1371/journal.pcbi.0010068,The Activity Reaction Core and Plasticity of Metabolic Networks,2005,94,12108,Article,3,22,4,2,1,9,206,0.97,0.333,NA,NA
10.1371/journal.pcbi.0010069,Revealing posttranscriptional regulatory elements through network-level conservation,2005,64,10218,Article,3,51,5,1,1,8,154,0.907,0.296,0.016,0
10.1371/journal.pcbi.0010071,Comparing the dictyostelium and entamoeba genomes reveals an ancient split in the conosa lineage,2005,30,7491,Article,7,23,2,0,1,14,194,0.862,0.328,0.173,0.004
10.1371/journal.pcbi.0010072,Folding free energies of 5'-UTRs impact post-transcriptional regulation on a genomic scale in yeast,2005,82,10866,Article,2,50,5,0,1,16,255,0.947,0.328,0,0
10.1371/journal.pcbi.0010073,Selective Constraint on Noncoding Regions of Hominid Genomes,2005,21,5982,Article,2,35,3,0,1,8,128,0.988,0.395,0.063,0.004
10.1371/journal.pcbi.0010074,Functional alignment of regulatory networks: a study of temperate phages.,2005,17,5458,Article,5,22,3,2,3,10,118,0.974,0.359,0.828,NA
10.1371/journal.pcbi.0010074,Functional Alignment of Regulatory Networks: A Study of Temperate Phages,2005,4,5458,Article,5,22,3,2,3,10,118,0.974,0.359,0.828,NA
10.1371/journal.pcbi.0010075,Genome Trees from Conservation Profiles,2005,19,8011,Article,1,70,7,0,1,5,243,0.979,0.326,NA,0
10.1371/journal.pcbi.0010076,Time to organize the bioinformatics resourceome,2005,63,11670,Article,3,12,0,0,0,6,NA,0,0,0.642,0
10.1371/journal.pcbi.0010077,The eighth annual bio-ontologies meeting.,2005,0,4337,Conference Paper,4,12,0,0,0,6,NA,0,0,0.004,0.866
10.1371/journal.pcbi.0010078,Segregation of the Brain into Gray and White Matter: A Design Minimizing Conduction Delays,2005,86,35810,Article,1,86,6,62,1,14,132,0.988,0.42,0.029,0
10.1371/journal.pcbi.0010079,New maximum likelihood estimators for eukaryotic intron evolution.,2005,62,6980,Article,3,28,4,12,1,8,180,0.866,0.312,0,0
10.1371/journal.pcbi.0010079,New Maximum Likelihood Estimators for Eukaryotic Intron Evolution,2005,6,6980,Article,1,28,4,12,1,8,180,0.866,0.312,0,0
10.1371/journal.pcbi.0020001,Computational analysis and prediction of the binding motif and protein interacting partners of the Abl SH3 domain,2006,119,10280,Article,5,52,5,1,1,17,284,0.886,0.291,NA,0.218
10.1371/journal.pcbi.0020002,Long-range periodic patterns in microbial genomes indicate significant multi-scale chromosomal organization,2006,36,10051,Article,4,37,6,2,1,13,174,0.94,0.293,0.004,0
10.1371/journal.pcbi.0020003,Signal processing in the TGF-β superfamily ligand-receptor network,2006,96,14897,Article,3,33,7,23,1,10,128,0.958,0.305,0.007,0.137
10.1371/journal.pcbi.0020004,Unusual intron conservation near tissue-regulated exons found by splicing microarrays,2006,153,13357,Article,11,86,6,0,1,11,230,0.891,0.292,0.005,0.006
10.1371/journal.pcbi.0020005,Genome-wide identification of human functional DNA using a neutral indel model,2006,136,14586,Article,3,30,7,0,1,12,356,0.926,0.375,NA,NA
10.1371/journal.pcbi.0020006,Seriation in paleontological data using Markov chain Monte Carlo methods,2006,41,8187,Article,3,45,2,14,1,10,167,0.968,0.389,0.138,NA
10.1371/journal.pcbi.0020007,"Welcome to PLoS Computational Biology ""Education""",2006,4,6102,Editorial,1,0,0,0,0,6,NA,0,0,0.931,0.931
10.1371/journal.pcbi.0020009,Traditional biomolecular structure determination by NMR spectroscopy allows for major errors,2006,70,10939,Article,4,50,5,0,1,11,269,0.961,0.323,0.056,NA
10.1371/journal.pcbi.0020010,Dependency map of proteins in the small ribosomal subunit,2006,38,7266,Article,3,33,5,6,2,9,192,0.967,0.367,0.962,NA
10.1371/journal.pcbi.0020011,ISMB 2006.,2006,0,3045,Article,3,0,0,2,0,2,NA,0,0,0,NA
10.1371/journal.pcbi.0020012,Ten simple rules for getting grants,2006,16,144390,Editorial,2,2,0,0,0,6,NA,0,0,0.003,0.009
10.1371/journal.pcbi.0020013,Structure modeling of all identified G protein-coupled receptors in the human genome,2006,178,19897,Article,3,120,5,1,1,13,318,0.932,0.234,0.145,0.004
10.1371/journal.pcbi.0020014,The fragile breakage versus random breakage models of chromosome evolution,2006,67,7571,Article,3,24,7,11,1,10,182,0.924,0.333,0,0.009
10.1371/journal.pcbi.0020015,Large-scale trends in the evolution of gene structures within 11 animal genomes,2006,59,12580,Article,8,56,9,0,1,13,144,0.889,0.374,0.003,0.005
10.1371/journal.pcbi.0020016,Circadian clocks are resounding in peripheral tissues,2006,103,7643,Article,6,23,5,9,1,7,242,0.957,0.369,0.041,0.004
10.1371/journal.pcbi.0020018,A third approach to gene prediction suggests thousands of additional human transcribed regions,2006,30,11087,Article,7,45,9,8,2,13,194,0.962,0.323,0.003,NA
10.1371/journal.pcbi.0020019,Understanding the degradation of hominid gene control [1],2006,5,2613,Letter,3,2,0,0,0,8,NA,0,0,0.003,0.004
10.1371/journal.pcbi.0020020,"Erratum: Time to organize the bioinformatics resourceome (Plos Computational Biology (2006) 2, 2 DOI: 10.1371/journal.pcbi.0010076)",2006,1,2239,Erratum,3,0,0,0,0,19,NA,0,0,0.642,0
10.1371/journal.pcbi.0020021,Spatiotemporal expression control correlates with intragenic scaffold matrix attachment regions (S/MARs) in Arabidopsis thaliana,2006,24,8683,Article,6,48,5,1,3,15,147,0.977,0.384,0,0
10.1371/journal.pcbi.0020022,Role of mechanical factors in the morphology of the primate cerebral cortex,2006,199,12542,Article,2,86,7,6,2,12,150,0.98,0.257,0,0.997
10.1371/journal.pcbi.0020023,The emergence of up and down states in cortical networks,2006,137,13812,Article,2,30,5,2,2,10,173,1,0.421,0.004,0.894
10.1371/journal.pcbi.0020024,Estimating costs and benefits of CTL escape mutations in SIV/HIV infection,2006,49,4388,Article,2,31,3,16,2,12,176,0.938,0.312,0,0
10.1371/journal.pcbi.0020025,A model for integrating elementary neural functions into delayed-response behavior,2006,8,4964,Article,2,42,15,0,1,11,266,0.994,0.354,0.004,0.252
10.1371/journal.pcbi.0020026,Authors' reply [2],2006,1,1592,Letter,2,3,0,0,0,3,NA,0,0,0.063,0.004
10.1371/journal.pcbi.0020027,Folding very short peptides using molecular dynamics,2006,61,15940,Article,2,55,4,11,1,7,160,0.917,0.358,0,0.001
10.1371/journal.pcbi.0020028,"Erratum: New maximum likelihood estimators for eukaryotic intron evolution (PLoS Computational Biology 1, 7, DOI: 10.1371/journal.pcbi.0010079)",2006,0,1552,Erratum,3,0,0,1,0,20,NA,0,0,0,0
10.1371/journal.pcbi.0020029,"Erratum: Structure modeling of all identified G protein-coupled receptors in the human genome (PLoS Computational Biology 2, 2, DOI: 10.1371/journal.pcbi. 0020013)",2006,1,2154,Erratum,3,0,0,0,0,25,NA,0,0,0.145,0.004
10.1371/journal.pcbi.0020030,Dynamical principles of two-component genetic oscillators,2006,85,15378,Article,2,36,7,2,1,7,240,1,0.311,NA,0.008
10.1371/journal.pcbi.0020032,Conformational changes in protein loops and helices induced by post-translational phosphorylation,2006,103,18229,Article,3,84,8,0,1,12,221,0.966,0.376,0.006,0.003
10.1371/journal.pcbi.0020033,Identification and classification of conserved RNA secondary structures in the human genome,2006,386,28580,Article,9,68,6,0,1,12,206,0.894,0.352,0,0.004
10.1371/journal.pcbi.0020034,SAGE2Splice: Unmapped SAGE tags reveal novel splice junctions,2006,9,5014,Article,6,33,7,0,2,8,223,0.939,0.305,0.004,0.997
10.1371/journal.pcbi.0020035,The signal in the genomes,2006,24,3481,Letter,1,8,0,0,0,5,NA,0,0,0.004,0.004
10.1371/journal.pcbi.0020036,Practical strategies for discovering regulatory DNA sequence motifs,2006,116,22511,Review,2,119,3,0,0,8,NA,0,0,0.975,0.006
10.1371/journal.pcbi.0020037,Codon usage domains over bacterial chromosomes,2006,35,9821,Article,5,65,7,7,3,6,164,0.973,0.277,0.004,0
10.1371/journal.pcbi.0020038,"Positive selection, relaxation, and acceleration in the evolution of the human and chimp genome",2006,101,13219,Article,3,75,3,0,1,14,273,0.964,0.333,0.002,NA
10.1371/journal.pcbi.0020039,Changing cellular location of CheZ predicted by molecular simulations,2006,43,5117,Article,1,62,6,0,1,9,190,0.95,0.311,0.997,0.997
10.1371/journal.pcbi.0020040,"Fold designability, distribution, and disease",2006,12,4905,Article,2,57,6,0,1,5,122,0.959,0.419,0.003,NA
10.1371/journal.pcbi.0020041,Inferring loss-of-heterozygosity from unpaired tumors using high-density oligonucleotide SNP arrays,2006,124,13989,Article,16,30,6,1,1,13,250,0.908,0.369,0.682,0.058
10.1371/journal.pcbi.0020042,Designing a nanotube using naturally occurring protein building blocks,2006,35,8185,Article,3,33,5,1,2,9,151,0.971,0.398,NA,0.997
10.1371/journal.pcbi.0020043,Differential repression of alternative transcripts: A screen for miRNA targets,2006,49,9900,Article,4,34,7,0,1,10,180,0.876,0.322,0,0.004
10.1371/journal.pcbi.0020044,Spatial regulation and the rate of signal transduction activation,2006,8,7492,Article,4,48,2,16,1,9,215,1,0.415,0,0.005
10.1371/journal.pcbi.0020045,"Statistics of knots, geometry of conformations, and evolution of proteins",2006,115,8491,Article,2,47,6,0,1,10,248,0.992,0.431,0,0.007
10.1371/journal.pcbi.0020046,Genome-wide survey for biologically functional pseudogenes,2006,54,12285,Review,3,34,10,6,1,7,288,0.914,0.297,NA,0
10.1371/journal.pcbi.0020047,Dynamic changes in subgraph preference profiles of crucial transcription factors,2006,11,4476,Article,11,32,4,2,1,10,187,0.972,0.393,NA,NA
10.1371/journal.pcbi.0020048,Protein family expansions and biological complexity,2006,162,13684,Article,2,46,4,0,2,6,248,0.961,0.403,0.997,0.001
10.1371/journal.pcbi.0020049,Transcription factor map alignment of promoter regions,2006,44,13967,Article,4,48,3,8,2,7,175,0.963,0.303,0.005,0
10.1371/journal.pcbi.0020051,Reverse engineering the gap gene network of Drosophila melanogaster,2006,132,11427,Article,4,54,8,7,2,9,198,0.991,0.31,0.004,0.008
10.1371/journal.pcbi.0020052,Iterative reconstruction of transcriptional regulatory networks: An algorithmic approach,2006,35,10488,Article,2,40,3,5,1,9,244,0.978,0.375,0.044,0
10.1371/journal.pcbi.0020053,Expression-guided in silico evaluation of candidate Cis regulatory codes for Drosophila muscle founder cells,2006,59,6778,Article,7,55,9,8,1,15,264,0.966,0.322,0.005,0.996
10.1371/journal.pcbi.0020054,The G protein-coupled receptor subset of the chicken genome,2006,83,9881,Article,6,95,5,0,1,10,273,0.862,0.317,0.78,0.004
10.1371/journal.pcbi.0020055,How does cross-reactive stimulation affect the longevity of CD8+ T cell memory?,2006,5,3491,Article,4,31,5,24,1,13,170,1,0.356,0,NA
10.1371/journal.pcbi.0020056,Moving forward moving backward: Directional sorting of chemotactic cells due to size and adhesion differences,2006,29,7398,Article,3,51,9,6,1,15,219,0.959,0.407,0,0
10.1371/journal.pcbi.0020057,Predicting Shine-Dalgarno sequence locations exposes genome annotation errors,2006,52,35110,Article,4,71,6,2,1,9,310,0.856,0.268,NA,NA
10.1371/journal.pcbi.0020058,Evolutionary potential of a duplicated repressor-operator pair: Simulating pathways using mutation data,2006,36,8474,Article,3,44,4,2,1,13,182,0.984,0.347,0.005,0.056
10.1371/journal.pcbi.0020059,Module-based analysis of robustness tradeoffs in the heat shock response system,2006,78,8359,Article,8,40,7,8,2,12,189,0.984,0.301,0,0
10.1371/journal.pcbi.0020060,"Erratum: Folding very short peptides using molecular dynamics (PLoS Computational Biology 2, 4 DOI: 10.1371/journal.pcbi.0020027)",2006,0,2111,Erratum,2,0,0,0,0,19,NA,0,0,0,0.001
10.1371/journal.pcbi.0020061,Prioritizing genomic drug targets in pathogens: Application to Mycobacterium tuberculosis,2006,118,20887,Article,4,71,2,0,1,10,238,0.951,0.303,0,0.003
10.1371/journal.pcbi.0020062,Adaptation to different human populations by HIV-1 revealed by codon-based analyses,2006,177,12450,Article,6,67,3,6,3,13,165,0.99,0.356,0,0.004
10.1371/journal.pcbi.0020063,Ultra-fast evaluation of protein energies directly from sequence,2006,38,7093,Article,6,62,10,5,1,9,326,0.961,0.399,0,0.997
10.1371/journal.pcbi.0020064,On modeling HIV and T cells in vivo: Assessing causal estimators in vaccine trials,2006,7,4400,Article,3,58,6,12,1,14,250,0.972,0.331,NA,0.003
10.1371/journal.pcbi.0020065,A community resource benchmarking predictions of peptide binding to MHC-I molecules,2006,231,16346,Article,15,54,5,0,2,12,291,0.971,0.324,NA,0
10.1371/journal.pcbi.0020067,Erratum: Spatiotemporal expression control correlates with intragenic scaffold matrix attachment regions (S/MARs) in Arabidopsis thaliana,2006,5,1673,Erratum,6,0,0,0,0,16,NA,0,0,0,0
10.1371/journal.pcbi.0020068,Inference of disease-related molecular logic from systems-based microarray analysis,2006,27,7473,Article,2,59,5,10,1,11,207,0.96,0.31,0,0
10.1371/journal.pcbi.0020069,Assessing the accuracy of ancestral protein reconstruction methods,2006,120,12899,Article,4,32,3,3,2,8,236,0.993,0.353,0.004,0.004
10.1371/journal.pcbi.0020070,Integrated assessment and prediction of transcription factor binding,2006,71,11860,Article,7,47,5,4,2,8,240,0.936,0.333,0.007,0.003
10.1371/journal.pcbi.0020071,Immunoinformatics comes of age,2006,138,17862,Review,3,97,1,0,0,4,153,0.97,0.228,0.999,0.996
10.1371/journal.pcbi.0020072,Identification of genome-scale metabolic network models using experimentally measured flux profiles,2006,90,12507,Article,3,32,3,4,1,12,282,0.993,0.35,0,0
10.1371/journal.pcbi.0020073,Parametric alignment of Drosophila genomes,2006,31,8490,Article,5,23,4,12,1,5,265,0.966,0.32,0.003,0.298
10.1371/journal.pcbi.0020074,Systematic analysis of head-to-head gene organization: Evolutionary conservation and potential biological relevance,2006,100,9678,Article,6,32,5,2,1,14,277,0.903,0.345,NA,NA
10.1371/journal.pcbi.0020074,"Erratum: Systematic analysis of head-to-head gene organization: Evolutionary conservation and potential biological relevance (PLoS Computational Biology (2006) 2,7, (0687) DOI: 10.1371/journal.pcbi.0020112)",2006,5,9678,Erratum,6,32,5,2,1,28,277,0.903,0.345,NA,NA
10.1371/journal.pcbi.0020075,An integrative method for accurate comparative genome mapping,2006,19,10411,Article,4,89,13,6,3,8,237,0.95,0.264,0,0.002
10.1371/journal.pcbi.0020076,Identification and analysis of genes and pseudogenes within duplicated regions in the human and mouse genomes,2006,17,8773,Article,4,39,2,9,1,16,179,0.924,0.305,1,0.004
10.1371/journal.pcbi.0020077,Functional classification using phylogenomic inference,2006,52,10605,Short Survey,2,47,2,0,0,5,NA,0,0,0.001,NA
10.1371/journal.pcbi.0020078,Single-molecule dynamics reveals cooperative binding-folding in protein recognition,2006,48,5979,Article,3,50,9,8,2,10,256,0.967,0.366,0.243,NA
10.1371/journal.pcbi.0020079,Protein-protein interactions more conserved within species than across species,2006,88,9802,Article,2,79,7,4,2,10,332,0.944,0.384,0,NA
10.1371/journal.pcbi.0020080,Noise-induced min phenotypes in E. coli,2006,144,11270,Article,2,73,9,0,2,7,267,0.965,0.382,0.004,0.012
10.1371/journal.pcbi.0020081,"From functional genomics to functional immunomics: New challenges, old problems, big rewards",2006,49,11391,Review,2,118,6,0,0,12,179,0.918,0.336,0,0.003
10.1371/journal.pcbi.0020082,Key role of local regulation in chemosensing revealed by a new molecular interaction-based modeling method,2006,99,7814,Article,6,43,6,0,2,16,238,0.93,0.255,0.005,0.004
10.1371/journal.pcbi.0020083,Authors' reply [2],2006,2,1676,Letter,3,7,0,3,0,3,NA,0,0,0,0
10.1371/journal.pcbi.0020084,On the estimation of intron evolution [1],2006,8,2687,Letter,1,7,0,3,0,7,NA,0,0,NA,NA
10.1371/journal.pcbi.0020085,Emergence of protein fold families through rational design,2006,151,8055,Article,2,55,3,1,1,8,261,0.96,0.338,0,0
10.1371/journal.pcbi.0020085,"Erratum: Emergence of protein fold families through rational design (PLoS Computational Biology 2, 7, DOI: 10.1371/journal.pcbi.0020149)",2006,10,8055,Erratum,2,55,3,1,1,20,261,0.96,0.338,0,0
10.1371/journal.pcbi.0020086,Intronic alternative splicing regulators identified by comparative genomics in nematodes,2006,54,9366,Article,6,60,4,0,1,10,298,0.893,0.287,0.997,0.003
10.1371/journal.pcbi.0020087,Scientific software development is not an oxymoron,2006,61,21412,Short Survey,4,27,0,0,0,7,NA,0,0,0.998,0.996
10.1371/journal.pcbi.0020088,Evolutionary and physiological importance of hub proteins,2006,194,14329,Article,3,46,2,0,2,7,241,0.974,0.364,0,0.003
10.1371/journal.pcbi.0020089,Extracting gene networks for low-dose radiation using graph theoretical algorithms,2006,75,9249,Article,8,66,8,0,1,11,256,0.971,0.255,0.986,0.005
10.1371/journal.pcbi.0020090,Wiggle - Predicting functionally flexible regions from primary sequence,2006,23,8249,Article,3,82,9,10,1,8,210,0.992,0.339,0.993,0.003
10.1371/journal.pcbi.0020091,The ion channel inverse problem: Neuroinformatics meets biophysics,2006,27,8652,Review,2,61,2,1,0,8,224,0.986,0.307,0.004,NA
